customer_id,age,annual_income_k,tenure_months,monthly_orders,avg_basket_usd,discount_share,app_sessions_per_month,website_minutes_per_month,support_tickets_6m,returns_6m,days_since_last_order,delivery_distance_km,satisfaction_score,ad_exposure_score,account_balance_points,preferred_device,region,membership_tier,primary_category
100866,52.8,,24.3,2.07,92.69,0.149,12,53.9,0,1,16.5,9.7,4.45,62,2035,tablet,South,basic,beauty
100867,50,48.9,10.8,9.11,26.89,0.537,12.1,53.4,3,1,0,9.6,5,68.5,1233,tablet,West,basic,groceries
100868,34.8,59,40.5,9.94,47.03,0.334,11.7,,1,0,14.1,24,3.77,53,1292,mobile,South,plus,beauty
100869,47.1,97.3,23.1,6.57,75.84,0.521,5.2,,0,0,0,12.7,5,45.5,2248,mobile,West,premium,beauty
100870,60.5,,19,9.96,70.81,0.543,5.4,41.1,1,3,11,8.9,5,41,2296,mobile,Northeast,basic,groceries
100871,29,141,25.6,6.13,114.1,0.277,17.8,107.8,5,1,21.2,3.6,5,68,3006,mobile,West,basic,groceries
100872,49.6,80.7,42.5,3.19,42.09,0.604,17.1,54.9,1,0,8.8,15.6,3.69,43.6,888,desktop,South,basic,groceries
100873,49.3,72.6,15.1,6.3,55.06,0.427,7.5,53.6,4,1,7.9,11.6,5,65.3,1768,mobile,West,plus,home
100874,49.2,102.5,25.8,5.13,102.64,0.237,7.9,92,6,5,16.1,4.4,4.83,57.6,2467,tablet,South,basic,beauty
100875,65.4,152.3,49.3,3.62,110.63,0.124,11.7,92.7,1,3,24.2,13.1,5,61.4,2833,mobile,Northeast,premium,beauty
100876,26.1,38,7.4,5.4,18.03,0.542,8.4,33.8,1,2,20.7,10,3.98,55.9,1069,mobile,West,basic,
100877,31.5,111.1,44.6,4.8,91.08,0.233,5.9,65.4,3,3,6.7,8.9,,45.8,2559,mobile,Northeast,premium,electronics
100878,34.9,56.3,22,4.64,48.98,0.264,11.3,,2,3,13.3,8.7,5,53.2,1527,mobile,South,plus,groceries
100879,45.5,81,32.1,4.79,53.39,0.355,4.9,43.5,2,2,10.4,10.6,5,37.6,1704,mobile,West,plus,beauty
100880,39.7,66.4,20.9,5.16,29.66,0.477,6.2,69.4,2,0,12.4,10.6,4.72,45.5,1055,mobile,Northeast,plus,groceries
100881,46.3,62.6,32.8,8.95,63.3,0.37,11,18,2,5,4.4,14.6,5,53.6,1968,mobile,West,plus,electronics
100882,48.2,103.6,29.6,5.03,80.54,0.389,18.7,153.7,1,3,12.9,8.2,5,55.8,2243,mobile,South,basic,home
100883,53,54.4,56.5,4.33,128.96,0.214,9.8,85.2,2,1,23.6,9.7,5,52.5,3040,mobile,South,premium,beauty
100884,43.7,131.9,38,4.08,78.67,0.33,1.8,83.3,4,1,37.9,9.4,5,62.5,1935,tablet,West,premium,home
100885,25.6,57.1,23.1,6.31,71.87,0.258,23.5,54.6,4,4,16.2,4.9,5,69.8,1752,desktop,West,basic,beauty
100886,23.2,95.3,13.9,1.79,73.7,0.232,28.9,99.4,6,1,29,13.4,,61.6,1692,mobile,Northeast,basic,groceries
100887,21,74.5,16.4,3.23,42.3,0.497,30.8,123.4,4,2,35.5,8.3,3.93,67.6,1076,mobile,Northeast,plus,electronics
100888,30,72.6,34.4,5.38,33.2,0.464,19.6,45.7,2,0,23.6,10,5,65.2,1342,mobile,West,plus,groceries
100889,37.4,60.3,37,8.15,84.41,0.447,3.4,21.6,2,1,19.3,8,5,36.2,2104,desktop,South,plus,
100890,29.9,86.3,23.7,1,76.06,0.24,19.5,61.2,4,3,25.3,7.9,3.89,60.6,1548,mobile,West,plus,electronics
100891,63.6,88.4,35.4,10.46,46.7,0.277,10.1,62.1,2,1,3.8,13,5,62.8,1805,mobile,Northeast,basic,groceries
100892,29.6,70.7,1,3.76,120.28,0.155,17.9,48,4,1,21.5,11.2,4.4,73.1,2792,,Midwest,basic,groceries
100893,21,51.8,33.9,6.4,65.64,0.152,9.5,,0,0,18.9,9.2,5,40.7,1775,,Northeast,basic,groceries
100894,39.8,50.1,35,3.79,15.68,0.597,10.2,92,0,1,0,7.1,4.91,59.4,805,desktop,Northeast,basic,groceries
100895,30.7,43.6,55.4,10.17,51.29,0.398,9.2,27.7,3,4,0.3,12.6,5,53,1787,tablet,South,premium,electronics
100896,35.9,,19.4,4.77,74.72,0.368,1,100.8,1,2,0,9.1,5,46.4,2285,mobile,West,premium,beauty
100897,34.9,80.4,3.7,7.09,35.35,0.621,12.5,44,1,0,1.1,8.6,5,59.3,1764,tablet,Midwest,premium,groceries
100898,39.2,64.9,17.6,2.98,88.93,0.122,0.5,89.8,0,0,9.6,8.9,4.45,54.1,2311,desktop,Northeast,plus,groceries
100899,18,42.7,20.6,5.77,31.69,0.408,8.2,49.9,3,0,4,3.9,5,59.9,1206,mobile,West,basic,home
100900,27.9,90.9,1,1.43,73.64,0.419,23.1,93.1,6,4,39.2,0.2,3.83,55.7,1893,tablet,West,basic,electronics
100901,29.5,64.5,4.7,4.11,27.16,0.41,15.3,54.9,1,1,17.1,1.9,4.48,59.2,1313,tablet,West,basic,groceries
100902,47.3,125.2,31,5.81,94.95,0.22,4,28.9,0,2,4.3,6.5,5,44.4,2371,mobile,Midwest,premium,electronics
100903,27.1,55.5,17.4,8.07,70.68,0.672,5,36.5,3,2,10.4,15.3,4.63,60,1803,desktop,Midwest,basic,groceries
100904,31.8,66.2,12.3,5.38,34.19,0.387,16.8,61.9,4,3,9.1,10.3,4.71,64.7,1026,mobile,South,basic,groceries
100905,55.6,64.7,28.5,7.5,33.47,0.492,9.4,55.1,1,2,13.6,14.9,5,42,1269,mobile,South,plus,groceries
100906,37.9,,3.5,4.72,78.69,0.243,11.7,46,1,2,9.8,13.5,5,52.6,1777,desktop,West,basic,groceries
100907,25,,8.4,4.14,78.58,0.173,7.2,,1,4,17.9,9.9,4.26,73.9,1678,mobile,West,plus,electronics
100908,36.8,101.6,28,4,95.8,0.256,7,45.8,0,0,16.5,5.8,5,30.8,2393,mobile,West,premium,groceries
100909,22.3,85.2,1,4.43,79.52,0.448,19.3,124.2,1,2,21.4,10.1,5,59.5,2186,mobile,Northeast,premium,home
100910,32.7,89,40.1,9.75,84.81,0.584,17,38.6,3,6,9.5,5.2,5,43.2,2218,mobile,Midwest,plus,home
100911,40.6,91.8,47.5,5.87,92.81,0.642,8.6,10.3,2,3,10.8,4.1,4.95,38.7,2161,desktop,West,basic,groceries
100912,48.6,72,33.6,7.88,84.65,0.312,7.9,50.4,2,1,3.8,7.4,5,56.2,2455,tablet,West,basic,groceries
100913,27.9,75.5,16,4.34,21.94,0.629,2.8,53.5,3,0,26,7,5,51.9,1507,desktop,Midwest,plus,home
100914,29.2,82.9,19.3,1.75,68.45,0.223,17.5,81.1,4,4,1.4,12.1,3.3,64.9,1582,mobile,Midwest,basic,groceries
100915,58,98.5,15.6,6.26,96.88,0.053,12,17.1,1,0,16,11.1,5,58.6,2635,mobile,West,basic,groceries
100916,35.4,53,35.5,10.45,68.92,0.33,6.4,58.4,0,2,15.2,10.5,5,58.2,2556,,Midwest,plus,groceries
100917,21.2,96.3,21.2,4.27,53.31,0.425,12,119.4,4,1,0.6,4.8,5,63,1763,tablet,South,plus,groceries
100918,40.9,65.2,12.7,4.88,23.59,0.85,5.7,49.2,2,1,17,8.4,4.77,50,1253,mobile,West,basic,groceries
100919,44.6,69.7,17.9,2.51,42.62,0.294,4,,3,2,19.2,5.7,4.98,40.9,1622,mobile,Northeast,plus,home
100920,53.2,127.3,31,7.43,86.82,0.086,9.4,48,0,2,18.7,8.3,5,49.5,2549,mobile,Midwest,premium,beauty
100921,29.4,74,28.4,4.49,35.86,0.733,16.4,,3,3,10.8,4.2,4.07,56.4,1022,mobile,Midwest,basic,electronics
100922,37.9,78.3,24,2.42,42.08,0.172,17.3,88.6,1,4,4.7,11.2,4.3,57.9,1398,mobile,South,basic,home
100923,49.8,50.1,33.2,9.18,66.12,0.177,6,9,2,2,7.3,12.7,5,43,2432,desktop,South,basic,electronics
100924,18,58.9,10.9,6.62,26.49,0.662,9.1,32.4,1,0,13.2,10.3,5,42.8,1313,mobile,South,basic,groceries
100925,59.3,86,48,3.36,103.81,0.246,0.6,51.5,4,0,5.4,10.6,,37.2,2491,tablet,South,basic,home
100926,28.2,75.3,12.6,1.43,99.92,0.35,8,49.2,2,3,18.1,6.2,,43.8,2099,mobile,Midwest,plus,groceries
100927,50.2,104.8,36.4,6.99,95.41,0.232,9.2,102.8,2,1,15.4,6.9,5,63,2042,,Northeast,plus,electronics
100928,45.4,,28.9,2.03,17.68,0.548,11.8,,0,1,7.4,10.6,4.85,55,855,tablet,West,premium,groceries
100929,32.6,74.1,39.6,2.76,126.7,0.186,14.4,78.9,1,1,23.2,13.7,3.79,56.7,2780,desktop,Northeast,premium,electronics
100930,25.1,87.3,13,2.89,46.59,0.317,28.5,88.5,2,2,29.8,5.7,4.27,66.3,1320,mobile,Northeast,premium,home
100931,30.4,104.5,5.1,3.59,59.76,0.112,27.7,83.8,6,4,47.4,5.1,3.96,56.5,1594,mobile,West,basic,electronics
100932,32.5,64.1,32.5,8.41,69.32,0.494,0.1,57.5,0,2,0,13.5,5,50.7,2482,desktop,South,premium,electronics
100933,41.3,,16.5,6.71,58.52,0.417,6.2,42.6,0,1,1.9,16.5,5,56.6,1670,desktop,Midwest,basic,home
100934,43.6,103.5,36.4,5.74,90.29,0,11.1,,2,1,28.8,11.4,5,38.3,2642,desktop,South,premium,electronics
100935,49.3,60.6,35.4,7.33,64.35,0.361,3.7,35.3,2,1,10.4,16.8,4.36,43.4,1879,desktop,Midwest,plus,groceries
100936,27.6,69.8,27.8,4.35,27.17,0.603,8.9,61.4,1,3,13,4.1,5,54,1066,mobile,Midwest,basic,beauty
100937,39.9,61.9,27.8,7.84,24.78,0.661,16.9,56.3,2,0,11.5,9.3,5,64.7,1107,mobile,Northeast,basic,home
100938,49.2,100.3,40.3,2.66,106.5,0.155,4.2,27.7,1,3,19.4,13.1,4.53,36,2442,mobile,Northeast,basic,electronics
100939,33.2,81.3,21.3,9.97,70.74,0.459,12.6,,0,0,7.4,15.7,5,61.4,2203,mobile,Northeast,plus,
100940,23.8,95,21.4,3.48,34.55,0.74,13.1,45.6,2,0,0,5,4.57,62.4,1210,desktop,Northeast,plus,groceries
100941,30.8,34.2,22,5.5,24.58,0.433,9.2,7.6,2,3,16.9,13.1,5,44.3,895,mobile,West,plus,groceries
100942,65.2,105.2,55.2,4.48,130.93,0.025,2,33.1,2,3,13.8,10.8,4.88,52.2,2715,tablet,West,plus,electronics
100943,30.1,73.4,20.5,6.86,79.7,0.53,3.6,,2,1,11.1,10.3,5,50.4,2195,mobile,Northeast,basic,groceries
100944,28.4,,22.4,2.85,46.67,0.29,15,113.6,6,7,27.2,15.8,2.36,59.4,1648,mobile,Northeast,plus,electronics
100945,50.4,79,37.7,10,61.63,0.392,13.5,48.7,2,0,3,6.9,5,56,2287,mobile,South,plus,home
100946,34.3,98.3,32.9,6.33,96.2,0.11,3.5,121.2,1,4,12.2,10.1,,64.7,2584,mobile,South,plus,home
100947,53.3,58.5,16.1,8.42,50.23,0.63,12.5,61.2,0,0,11.4,4.5,5,58.7,1617,tablet,Northeast,basic,home
100948,43.2,68.6,27.4,4.62,43.38,0.74,9.9,55.3,2,0,18.8,4.8,4.25,51.4,1142,desktop,Midwest,basic,groceries
100949,53.4,104.5,19.1,7.7,60.94,0.424,10.7,,1,1,0.5,9.7,5,66.1,1766,mobile,South,basic,groceries
100950,32.2,78.8,25.5,4.57,29.56,0.722,10.4,56.4,0,1,22.6,7.1,5,64.1,1001,mobile,South,plus,electronics
100951,44.6,47.9,18,4,35.91,0.662,9.3,26.4,0,1,0,2.2,4.87,48.2,1350,mobile,South,premium,groceries
100952,57.5,108.1,53.1,3.68,72.15,0.153,5.4,33.2,0,0,13.3,14.3,5,46.3,1804,desktop,Northeast,basic,groceries
100953,45.9,129.1,3.2,5.03,137.49,0.219,0.1,,1,2,32.9,13.2,5,43.6,3323,mobile,Northeast,basic,electronics
100954,18,67.4,16,5.37,50.37,0.266,19.5,116,2,2,21.8,9.4,5,67.2,1013,mobile,West,basic,beauty
100955,33.2,77.4,46.9,5.05,120.9,0.068,7.5,75.4,3,3,18.9,16.7,4.55,55.1,2607,mobile,Northeast,premium,beauty
100956,29.4,,6.1,6.65,34.82,0.605,7,34.3,4,3,21.9,3.9,5,54.8,1119,mobile,Northeast,basic,groceries
100957,20.2,110.7,21.8,2.27,98.51,0.179,22.3,103.1,3,0,37.4,9.9,4.73,68.3,2427,mobile,Northeast,plus,home
100958,52.3,94.8,45.4,3.81,87.8,0.314,7.6,,1,1,20.6,4.6,5,35.5,1648,mobile,Northeast,plus,electronics
100959,38.9,,20.5,8.63,37.58,0.697,6.7,53.3,2,1,0.8,8.9,5,47.9,1660,mobile,West,plus,groceries
100960,40.1,88.4,44.1,7.06,67.91,0.382,7.3,55.4,0,1,14.5,2.4,5,55,1601,mobile,South,plus,groceries
100961,42,45.6,16.3,3.81,82.84,0.068,6.8,31.6,2,1,14.1,18.5,4.34,46.6,2669,desktop,Northeast,premium,home
100962,43.3,103.5,39.3,5.15,88.75,0.296,4.3,67.9,0,2,24.2,13.9,5,46.4,2181,mobile,Northeast,plus,home
100963,37.3,62.3,10.5,7.67,29.82,0.457,7.7,77.3,0,0,23.1,0.9,5,41,1169,,Northeast,premium,groceries
100964,34.3,74.3,26.4,5.98,55.44,0.416,7.4,,3,1,3.7,4.8,,57.7,1700,desktop,South,plus,electronics
100965,36.7,109,56.6,6.56,114.34,0.293,0.9,43.1,2,1,0,7,5,35.8,2790,tablet,Northeast,premium,electronics
100966,38,80.2,37.9,6.62,59.74,0.4,12.9,28.1,2,1,8.1,15.1,5,60.9,1904,desktop,Midwest,plus,groceries
100967,50.1,82.1,25.5,9.16,61.95,0.544,15.9,78.1,1,2,12.9,8.9,5,42.3,1778,desktop,South,basic,electronics
100968,20.3,46.7,21.8,4.21,23.62,0.499,10.3,56.5,3,3,15.4,5.2,,58.8,948,mobile,South,basic,electronics
100969,35.4,40.9,13,11.36,45.43,0.574,19.1,57.4,2,3,0,16,5,48.5,2457,,West,premium,groceries
100970,32.7,54.4,37.1,14.51,64.8,0.428,19.9,60.2,2,3,0.6,22.7,4.9,56,2583,mobile,Midwest,basic,groceries
100971,38.3,94.8,14.5,5.75,69.44,0.406,9.6,49.5,1,1,11.5,6.7,4.96,49.7,1773,mobile,West,basic,groceries
100972,48.8,102,16,5.1,130.09,0.31,0.1,86.9,3,3,2.2,2.5,4.51,35,3285,desktop,Northeast,premium,electronics
100973,45.1,77.6,22.6,7.2,70.37,0.443,6.9,39.7,1,0,8.1,11.7,,49.5,1507,mobile,Midwest,plus,groceries
100974,53.2,96.1,12.4,5.85,113.89,0.322,5.1,81.1,2,2,10.3,9.7,,40.1,2837,desktop,West,premium,groceries
100975,26.2,33,32.3,5.63,59.47,0.483,9.7,46.5,3,3,13.2,18.5,3.6,54.8,1536,mobile,South,basic,home
100976,50.6,65.2,33.2,6.45,57.71,0.374,10.6,10.6,1,2,0,7.6,4.97,48.7,1633,mobile,Midwest,plus,groceries
100977,29.7,72,13,3.63,47.96,0.552,7.9,24.6,5,1,0,7.9,5,48.7,1251,mobile,Midwest,plus,groceries
100978,37,75.4,15.2,3.19,22.06,0.593,7.6,49.1,3,1,27.9,6.1,5,43.1,664,desktop,Midwest,plus,groceries
100979,57.7,53,2,3.12,23.61,0.681,16.4,63.8,1,1,13.6,5.6,5,63.2,880,desktop,South,basic,groceries
100980,41.2,,22.1,9.84,76.32,0.252,8.6,29.5,4,3,5.8,9.5,,45.9,2101,desktop,West,plus,groceries
100981,46.7,45.8,51,6.85,59.49,0.646,9.3,35.4,2,0,3,12.8,5,60.8,1743,desktop,South,basic,groceries
100982,44.7,120.2,34.8,3.18,105.54,0.403,0.1,77.6,0,0,4.9,15.3,5,33.3,2453,mobile,Northeast,premium,home
100983,21,,43.6,4.67,32.24,0.661,11,8.5,1,0,11,6.6,5,48.5,1366,tablet,South,plus,groceries
100984,36.3,54.8,16.3,7.13,44.87,0.515,9.5,66.5,1,2,4.7,7.8,5,44.7,1787,mobile,South,basic,groceries
100985,34.3,113.7,4.8,6.91,36.89,0.601,3.5,75.4,1,3,9.4,9.4,5,68.3,2580,mobile,Midwest,premium,electronics
100986,39.1,103.9,32.3,4.44,101.18,0.209,6.6,72.6,0,0,22.8,8.3,5,53.3,2824,mobile,Northeast,premium,home
100987,52.6,,39.5,6.07,134.36,0.196,0.1,80.2,3,3,13.9,11.1,4.99,42.8,2952,mobile,Northeast,plus,electronics
100988,44.6,86.2,39.6,6.27,49.86,0.453,13.7,23.3,2,3,6.9,17.4,4.47,57.7,1844,mobile,Midwest,basic,groceries
100989,28.5,105.1,8.3,4.38,58,0.209,13.8,,2,1,14.9,9.8,5,58.2,2054,mobile,South,basic,beauty
100990,38.3,41.9,15.8,4.02,77.2,0.349,30.8,123.7,2,2,19.6,10.9,5,70.2,2418,mobile,Northeast,premium,groceries
100991,49.9,114.7,78.1,7.06,81.72,0.198,4.8,70.2,0,0,17.8,8.8,5,45.8,2569,mobile,South,premium,beauty
100992,27.7,75,13.2,6.07,84.75,0.356,10.9,70.2,6,3,22.5,7.1,4.55,58.6,1882,mobile,Midwest,plus,groceries
100993,44.5,81.2,53.1,2.39,99.59,0.209,8.2,63.5,1,3,18.2,17.1,3.77,56.7,2180,mobile,Midwest,premium,electronics
100994,39.9,60.7,1.3,3.08,41.93,0.74,10.2,46.3,0,0,5.7,3.2,4.62,56.7,1155,desktop,Northeast,basic,groceries
100995,34,93.7,17.6,7.59,47.56,0.638,20.1,,2,1,1.5,5.5,5,68.9,1697,mobile,West,plus,groceries
100996,51.4,84.5,15,4.07,32.28,0.504,12.9,91.3,4,0,16.5,6.8,5,60.3,1108,mobile,West,basic,groceries
100997,42.1,65.5,33.7,2.91,66.52,0.422,18,82.7,4,4,15.2,7.9,4.29,56.5,1925,mobile,West,plus,groceries
100998,52.5,43.1,21.1,6.86,33.74,0.7,7.2,22.5,1,2,21.4,5.1,4.94,31.3,1769,desktop,South,plus,groceries
100999,29.5,73.5,38.3,8.53,69.72,0.495,4.5,49.1,4,3,7.2,1.6,5,43.6,1913,mobile,Midwest,plus,home
101000,40.3,72.1,5.1,3.38,27.72,0.416,18.6,75.3,1,0,18.5,4.2,4.81,58.3,1175,desktop,Midwest,plus,groceries
101001,35.9,,34.7,6.05,35.47,0.654,8.8,75.7,1,0,6.2,4.4,5,58,1503,mobile,West,basic,groceries
101002,42.7,,36.2,5.5,70.08,0.485,7.5,46.9,5,4,9.8,14.4,4.54,49.6,2183,desktop,Midwest,premium,electronics
101003,28.5,114.8,1.2,3.6,98.58,0.232,9.7,91.7,5,3,34.5,8.5,4.32,68.5,2499,mobile,West,premium,beauty
101004,40.5,89.5,19.2,7.53,49.7,0.481,15.8,48.3,0,0,6.1,10.7,5,48.5,1737,mobile,South,basic,groceries
101005,29.5,59.4,31.2,4.69,36.78,0.516,23.5,77,0,2,18.5,7.7,4.59,68.4,1025,desktop,West,premium,groceries
101006,45.4,84.4,32.4,7.72,43.01,0.397,6.2,64.3,2,1,13.9,16,5,46.1,2017,mobile,South,basic,home
101007,18,156.4,19.1,7.29,110.38,0.119,3.6,74.9,2,2,27.7,15.5,5,56.3,3153,tablet,Northeast,premium,groceries
101008,50.6,70.6,22.1,5.13,23.97,0.53,7.5,27.2,1,0,13.7,11.2,,49.3,1314,mobile,Northeast,plus,home
101009,22.4,106.4,10.3,3.56,93.76,0.449,18.5,76.5,6,3,14.2,5.4,5,68.1,2176,mobile,West,premium,groceries
101010,36.5,81.1,23.7,7.01,21.95,0.602,4.9,41.8,0,0,3.4,4.4,5,52.9,1034,desktop,South,plus,groceries
101011,41.9,84.6,14,1.06,90.58,0.24,19.5,56.7,4,4,16.4,9.6,4.67,60.8,1408,mobile,West,basic,groceries
101012,18,66,18.2,4.26,26.91,0.618,0.2,33.4,3,3,4.6,2.8,,36.4,1178,mobile,Northeast,basic,groceries
101013,45.2,84.1,18,3.25,71.62,0.427,20.1,76.5,3,5,0,14.3,4.63,57.1,2228,mobile,Midwest,plus,beauty
101014,26.5,53.3,11.2,4.95,59.35,0.344,12.8,106.7,1,1,37,9.6,5,71,1689,tablet,West,basic,home
101015,43.2,107.2,26,5.35,118.75,0.17,9.9,65.1,2,1,1.2,14.5,5,56.7,2706,desktop,Northeast,premium,home
101016,44.4,69.2,29.6,9.42,32.13,0.529,4.9,34,1,0,12.9,6.2,5,52.5,1650,tablet,West,premium,groceries
101017,32,71.1,6.6,5.49,60.46,0.424,2.2,21.8,4,2,6.3,15.3,4.8,47.6,1965,,West,plus,home
101018,24.8,60,18,6.6,30.81,0.294,9.9,71.1,2,3,11.2,12.5,4.89,61.5,1703,mobile,West,premium,home
101019,18,75.7,8.2,4.74,45.51,0.367,4.2,21.5,4,4,18.2,0.2,4.76,57.6,1254,mobile,West,basic,home
101020,42.3,39,3.9,6.86,26.98,0.466,13.6,39.4,0,1,23,7.7,5,55.1,767,mobile,Midwest,basic,groceries
101021,44.9,99.5,32.2,4.1,74.69,0.231,6.7,48.5,1,5,20.2,12.5,4.69,46,1898,mobile,Northeast,premium,electronics
101022,28.4,98.2,39.5,5.04,87.98,0.284,6.2,93.9,3,3,3.5,5,,62.6,2588,mobile,West,premium,beauty
101023,39,61.5,25.4,7.76,61.29,0.389,11.1,41.2,2,2,10.5,14.1,5,56.4,1646,desktop,West,basic,home
101024,34.8,67.4,35.6,7.76,50.24,0.347,4.6,5.3,0,2,0,13.1,5,54.6,1620,mobile,West,plus,home
101025,47.1,45.5,6.9,4.47,32.73,0.488,8.7,34.9,1,0,16,9.3,5,50.8,997,tablet,Midwest,basic,beauty
101026,38.6,79.5,18,3.79,99.27,0.455,11,74.5,2,1,19.5,9.2,5,41.9,2284,mobile,Northeast,plus,beauty
101027,28.1,48.4,23.9,7.79,14.88,0.612,7.8,37,1,1,11.1,4.8,5,67.4,1215,desktop,West,basic,home
101028,50.1,50.8,9.2,7.59,19.99,0.871,13.9,75.2,3,1,1.8,7.8,5,54.3,1103,desktop,West,basic,groceries
101029,40.7,35.1,32,6.67,29.26,0.783,4.5,56.9,1,0,21.8,9.9,5,55.7,1126,mobile,South,basic,groceries
101030,18,57.2,7.1,6.58,50.88,0.525,12.9,56.7,1,0,12.2,12.7,5,50.2,1512,desktop,Midwest,plus,groceries
101031,57.5,121.6,27.8,6.32,105.22,0.122,2,52.7,1,1,12,14.8,5,52.7,2621,desktop,Midwest,premium,groceries
101032,42.8,,35.4,9.38,21.34,0.694,18.7,68.8,0,2,9.4,9.5,5,57.4,1381,desktop,South,basic,groceries
101033,36.1,58,13,6.18,33.03,0.561,13.9,74.7,3,2,0,6.9,,41.2,1056,mobile,West,plus,electronics
101034,28.5,74.5,20.2,5.31,27.84,0.703,13.1,,3,0,8.8,0.2,5,67,1277,mobile,West,plus,
101035,49.4,58.5,30.4,6.94,64.29,0.304,9.6,28.6,1,2,7.6,15.6,5,54.1,2022,mobile,Midwest,basic,electronics
101036,54.3,,8.4,2.66,100.56,0.022,10.4,38.4,1,1,24.4,10.6,4.94,56.4,2457,desktop,West,premium,electronics
101037,20.8,53.8,15.2,3.78,37.99,0.522,9.6,102.1,3,2,12.1,6.7,4.78,64.8,1017,mobile,West,plus,groceries
101038,47.5,,22.7,8.22,72.17,0.399,3.9,35.8,4,2,1.9,16.1,4.89,43.7,2191,mobile,South,basic,electronics
101039,30.7,82.3,39.7,5.01,32.32,0.841,12,40.9,3,1,26.9,4.3,,60.5,1464,tablet,South,basic,home
101040,31.6,86.9,42.5,6.88,49.22,0.322,6.9,32.7,2,2,2.8,9.7,5,40.1,1784,desktop,Northeast,basic,groceries
101041,35.2,61.9,23.1,6.34,53.99,0.293,3.6,48.3,4,0,0,12.7,5,43.6,1670,mobile,Midwest,basic,groceries
101042,45.2,92.8,37.3,7.84,75.92,0.506,11.6,19.1,3,3,5.5,16.6,5,54,2238,desktop,Midwest,premium,home
101043,30.6,,28.1,5.96,39.49,0.232,6.2,38.5,2,0,4.1,5.4,5,40.2,1554,desktop,Northeast,plus,groceries
101044,47.8,101.2,42.3,5.51,91.65,0.191,8.2,95.9,0,1,12.5,12.5,5,62.3,2231,desktop,West,plus,beauty
101045,26.8,68.9,21.8,5.46,39.19,0.466,9,42.6,1,0,11,4.2,5,48.2,1483,desktop,Midwest,basic,groceries
101046,36.6,98.8,11.6,7.46,64.06,0.618,7.9,,4,3,3.9,12.8,5,40.8,2312,tablet,South,plus,electronics
101047,48,,25.7,6.99,28.71,0.597,15.1,62.6,0,0,7.6,3.8,4.95,65.3,1529,desktop,Northeast,plus,groceries
101048,44.9,116.1,38.3,5.35,94.62,0.088,4.8,46.8,1,0,13,10.2,5,56.9,2513,desktop,West,premium,home
101049,46.9,62.5,36.1,7.26,33.88,0.804,13.3,24,2,3,25,8.8,,54.7,1396,mobile,Midwest,basic,home
101050,51.2,83.4,19.2,6.54,50.01,0.337,14.5,74.1,1,0,8.7,6.5,5,61.2,1235,desktop,South,basic,groceries
101051,24.4,73.2,34.4,6.84,37.88,0.731,11.4,59,1,2,8.7,10.4,5,65.2,1158,mobile,West,basic,groceries
101052,52.4,62.5,31.1,4.57,26.71,0.932,11.8,68.8,0,0,2.8,13.5,4.43,50.6,994,mobile,Midwest,basic,beauty
101053,34,64.5,20.7,2.37,33.63,0.6,16.7,70.1,0,0,13.5,7.7,5,41.7,1278,mobile,South,plus,groceries
101054,36.6,93.7,18.2,9.35,64.14,0.321,8.6,58.5,3,2,7.4,16.8,5,41.3,2126,desktop,South,plus,groceries
101055,49.6,79.7,37.3,1.02,78.06,0.13,10.1,99.1,0,0,23.9,7.2,5,52.6,1674,desktop,Midwest,basic,home
101056,31.7,45.6,16.9,4.08,31.08,0.763,6,48,2,3,12.4,7.2,5,34.9,1402,desktop,Midwest,basic,home
101057,43.9,85.5,29.2,4.19,120.99,0.222,6.9,85.8,1,2,7.1,14.8,4.63,59.7,2471,mobile,West,plus,home
101058,25.8,74,20.5,6.41,91.59,0.386,23.1,70.5,2,5,12.2,13.4,5,54.6,2565,,South,plus,groceries
101059,38.2,89.7,4.2,3.61,54.23,0.181,8.4,,4,4,20.4,14.4,4.68,44.2,1724,mobile,Northeast,plus,groceries
101060,46.8,57,11.1,7.48,18.38,0.555,9.3,,1,3,10.5,2.6,5,56.3,1302,mobile,South,plus,electronics
101061,47,,2.9,4.45,30.4,0.663,12.9,68.4,2,0,1.5,5.1,4.84,59,969,tablet,West,basic,groceries
101062,38.9,95.4,18.1,3.56,93.76,0.449,18.5,76.5,6,3,14.2,5.4,4.79,45.8,909,desktop,South,plus,groceries
101063,40.1,82.8,16.7,8.83,50.28,0.547,7.3,68.8,2,1,7.6,6.2,5,65.4,1666,mobile,West,basic,beauty
101064,34.2,,19,5.22,51.27,0.216,14.3,78.1,3,3,49.3,6.6,4.61,53.8,1578,mobile,Northeast,basic,beauty
101065,53.2,52.8,14.2,7.9,34.75,0.65,1.3,9.3,2,2,22.8,4.1,5,42.5,1236,mobile,West,premium,electronics
101066,45.7,55.3,13.7,3.77,33.98,0.712,4,101.4,3,1,20.5,9.2,4.87,54.6,1420,desktop,Midwest,basic,beauty
101067,45.5,76.5,39,9.27,69.25,0.436,5.9,44.1,4,2,15.9,5.9,5,39.9,1966,desktop,South,plus,groceries
101068,29.3,69.6,12.7,4.88,41.25,0.432,12.5,53,1,0,26.3,4.8,5,51.8,1470,mobile,Northeast,basic,home
101069,44,103.4,42.6,2.74,87,0.299,13.1,,2,1,35.8,5.2,4.74,60.6,2202,mobile,Northeast,premium,groceries
